District Rotaract Representative,DRR
Deputy District Rotaract Representative,DDRR
District Secretary - Events & Protocols,DS-EP
District General Secretary,DS-G
District Secretary - Administration,DS-A
District Club Advisor,ClubAdvisor
District Secretary - Reporting,DS-R
District Secretary - RI Reporting,DS-RR
District Treasurer,Treasurer
Immediate Past DRR,IPDRR
District Mentor,Mentor
District Zonal Representative - 1,DZR1
District Zonal Representative - 2,DZR2
District Zonal Representative - 3,DZR3
District Zonal Representative - 4,DZR4
District Zonal Representative - 5,DZR5
District Zonal Representative - 6,DZR6
Assistant Zonal Represntative - 1,AZR1
Assistant Zonal Representative - 2,AZR2
Assistant Zonal Representative - 3,AZR3
Assistant Zonal Representative - 4,AZR4
Assistant Zonal Representative - 5,AZR5
Assistant Zonal Representative - 6,AZR6
District Director - Professional Development,PDD
District Director - Club Service,CSD
District Director- Community Service,CMD
District Director - International Service,ISD
District Professional Assistant Officer,PAO
District Director - Membership Development,MembershipD
District Officer - Public Relations,PRO
District Editor,Editor
District Sports Head,SportsHead
District Snapper,Snapper
District Director- Public Image,Public Image
District Director- Finance,Finance
District Sergeant-At-Arms,SAA
District Officer- Rotary Rotaract Relations,RRRO
District Women's Representative,WR
District Director- Communication(Whatsapp),Whatsapp Comm
District Coordinator - Rotasia,Rotasia Cord
District Chairperson- World Rotaract Week,WRW
District Chairperson- E-Ryla,ERyla
District Website Coordinator,Website
District Director Without Portfolio - 1,WithoutPortfolio1
District Director Without Portfolio - 2,WithoutPortfolio2
District Director Without Portfolio - 3,WithoutPortfolio3
COPS Secretary,COPS-S
COPS President,COPS-P